id,destinations,flag_entry,organization_code,organization_type,source_org_type,sync_url,table_name,to_child,to_parent,type
1,3,0,001,UNION,SELF,a,tbl_states,0,0,1
2,0,1,001,UNION,PARENT,a,tbl_states,1,0,2
3,3,0,001,UNION,SELF,a,tbl_states_local,0,0,1
4,0,1,001,UNION,PARENT,a,tbl_states_local,1,0,2
5,3,0,001,UNION,SELF,a,tbl_districts,0,0,1
6,0,1,001,UNION,PARENT,a,tbl_districts,1,0,2
7,3,0,001,UNION,SELF,a,tbl_districts_local,0,0,1
8,0,1,001,UNION,PARENT,a,tbl_districts_local,1,0,2
9,3,0,001,UNION,SELF,a,tbl_sub_districts,0,0,1
10,0,1,001,UNION,PARENT,a,tbl_sub_districts,1,0,2
11,3,0,001,UNION,SELF,a,tbl_sub_districts_local,0,0,1
12,0,1,001,UNION,PARENT,a,tbl_sub_districts_local,1,0,2
13,3,0,001,UNION,SELF,a,tbl_villages,0,0,1
14,0,1,001,UNION,PARENT,a,tbl_villages,1,0,2
16,3,0,001,UNION,SELF,a,tbl_villages_local,0,0,1
17,0,1,001,UNION,PARENT,a,tbl_villages_local,1,0,2
19,3,0,001,UNION,SELF,a,tbl_village_miscellaneous,0,0,1
20,1,1,001,UNION,CHILD,a,tbl_village_miscellaneous,0,1,2
21,3,0,001,UNION,SELF,a,tbl_village_miscellaneous_local,0,0,1
22,1,1,001,UNION,CHILD,a,tbl_village_miscellaneous_local,0,1,2
23,2,1,001,UNION,SELF,a,tbl_hamlets,1,1,1
24,0,1,001,UNION,PARENT,a,tbl_hamlets,1,0,2
25,3,1,001,UNION,CHILD,a,tbl_hamlets,0,0,2
26,2,1,001,UNION,SELF,a,tbl_hamlets_local,1,1,1
27,0,1,001,UNION,PARENT,a,tbl_hamlets_local,1,0,2
28,3,1,001,UNION,CHILD,a,tbl_hamlets_local,0,0,2
29,3,0,001,UNION,SELF,a,tbl_animal_type,0,0,1
30,0,1,001,UNION,PARENT,a,tbl_animal_type,1,0,2
