>START_TIME		= 06.09.2017 15:09:37
>END_TIME		= 06.09.2099 23:59:59
>CP_NAME		= Society One For Test
>CP_ADDRESS		= Test Village S
>CP_CODE		= 00012101
>FILE_NAME		= v1
>RATE_FAT_BELOW_MIN	= 0.0
>RATE_SNF_BELOW_MIN	=0.0
>RATE_FAT_SNF_BELOW_MIN =0.0
>VENDOR_RANK=1
>MILK_TYPE=COW


*FAT,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10,10.1,10.2,10.3,10.4,10.5,10.6,10.7,10.8,10.9,11,11.1,11.2,11.3,11.4,11.5,11.6,11.7,11.8,11.9
2,13.79,13.94,14.09,14.25,14.4,14.55,14.7,14.86,15.01,15.16,15.32,15.47,15.62,15.78,15.93,16.08,16.24,16.39,16.54,16.7,21.06,21.25,21.44,21.64,21.83,22.02,22.21,22.4,22.59,22.78,22.98,23.17,23.36,23.55,23.74,23.93,24.12,24.32,24.51,24.7,24.89,25.08,25.27,25.47,25.66,25.85,26.04,26.23,26.42,26.61,26.81,27,27.19,27.38,27.57,27.76,27.95,28.15,28.34,28.53
2.1,14.02,14.17,14.32,14.47,14.63,14.78,14.93,15.09,15.24,15.39,15.55,15.7,15.85,16.01,16.16,16.31,16.47,16.62,16.77,16.93,21.35,21.54,21.73,21.92,22.11,22.31,22.5,22.69,22.88,23.07,23.26,23.45,23.65,23.84,24.03,24.22,24.41,24.6,24.79,24.99,25.18,25.37,25.56,25.75,25.94,26.14,26.33,26.52,26.71,26.9,27.09,27.28,27.48,27.67,27.86,28.05,28.24,28.43,28.62,28.82
2.2,14.25,14.4,14.55,14.7,14.86,15.01,15.16,15.32,15.47,15.62,15.78,15.93,16.08,16.24,16.39,16.54,16.7,16.85,17,17.16,21.64,21.83,22.02,22.21,22.4,22.59,22.78,22.98,23.17,23.36,23.55,23.74,23.93,24.12,24.32,24.51,24.7,24.89,25.08,25.27,25.47,25.66,25.85,26.04,26.23,26.42,26.61,26.81,27,27.19,27.38,27.57,27.76,27.95,28.15,28.34,28.53,28.72,28.91,29.1
2.3,14.47,14.63,14.78,14.93,15.09,15.24,15.39,15.55,15.7,15.85,16.01,16.16,16.31,16.47,16.62,16.77,16.93,17.08,17.23,17.39,21.92,22.11,22.31,22.5,22.69,22.88,23.07,23.26,23.45,23.65,23.84,24.03,24.22,24.41,24.6,24.79,24.99,25.18,25.37,25.56,25.75,25.94,26.14,26.33,26.52,26.71,26.9,27.09,27.28,27.48,27.67,27.86,28.05,28.24,28.43,28.62,28.82,29.01,29.2,29.39
2.4,14.7,14.86,15.01,15.16,15.32,15.47,15.62,15.78,15.93,16.08,16.24,16.39,16.54,16.7,16.85,17,17.16,17.31,17.46,17.61,22.21,22.4,22.59,22.78,22.98,23.17,23.36,23.55,23.74,23.93,24.12,24.32,24.51,24.7,24.89,25.08,25.27,25.47,25.66,25.85,26.04,26.23,26.42,26.61,26.81,27,27.19,27.38,27.57,27.76,27.95,28.15,28.34,28.53,28.72,28.91,29.1,29.29,29.49,29.68
2.5,14.93,15.09,15.24,15.39,15.55,15.7,15.85,16.01,16.16,16.31,16.47,16.62,16.77,16.93,17.08,17.23,17.39,17.54,17.69,17.84,22.5,22.69,22.88,23.07,23.26,23.45,23.65,23.84,24.03,24.22,24.41,24.6,24.79,24.99,25.18,25.37,25.56,25.75,25.94,26.14,26.33,26.52,26.71,26.9,27.09,27.28,27.48,27.67,27.86,28.05,28.24,28.43,28.62,28.82,29.01,29.2,29.39,29.58,29.77,29.96
2.6,15.16,15.32,15.47,15.62,15.78,15.93,16.08,16.24,16.39,16.54,16.7,16.85,17,17.16,17.31,17.46,17.61,17.77,17.92,18.07,22.78,22.98,23.17,23.36,23.55,23.74,23.93,24.12,24.32,24.51,24.7,24.89,25.08,25.27,25.47,25.66,25.85,26.04,26.23,26.42,26.61,26.81,27,27.19,27.38,27.57,27.76,27.95,28.15,28.34,28.53,28.72,28.91,29.1,29.29,29.49,29.68,29.87,30.06,30.25
2.7,15.39,15.55,15.7,15.85,16.01,16.16,16.31,16.47,16.62,16.77,16.93,17.08,17.23,17.39,17.54,17.69,17.84,18,18.15,18.3,23.07,23.26,23.45,23.65,23.84,24.03,24.22,24.41,24.6,24.79,24.99,25.18,25.37,25.56,25.75,25.94,26.14,26.33,26.52,26.71,26.9,27.09,27.28,27.48,27.67,27.86,28.05,28.24,28.43,28.62,28.82,29.01,29.2,29.39,29.58,29.77,29.96,30.16,30.35,30.54
2.8,15.62,15.78,15.93,16.08,16.24,16.39,16.54,16.7,16.85,17,17.16,17.31,17.46,17.61,17.77,17.92,18.07,18.23,18.38,18.53,23.36,23.55,23.74,23.93,24.12,24.32,24.51,24.7,24.89,25.08,25.27,25.47,25.66,25.85,26.04,26.23,26.42,26.61,26.81,27,27.19,27.38,27.57,27.76,27.95,28.15,28.34,28.53,28.72,28.91,29.1,29.29,29.49,29.68,29.87,30.06,30.25,30.44,30.63,30.83
2.9,15.85,16.01,16.16,16.31,16.47,16.62,16.77,16.93,17.08,17.23,17.39,17.54,17.69,17.84,18,18.15,18.3,18.46,18.61,18.76,23.65,23.84,24.03,24.22,24.41,24.6,24.79,24.99,25.18,25.37,25.56,25.75,25.94,26.14,26.33,26.52,26.71,26.9,27.09,27.28,27.48,27.67,27.86,28.05,28.24,28.43,28.62,28.82,29.01,29.2,29.39,29.58,29.77,29.96,30.16,30.35,30.54,30.73,30.92,31.11
3,20.1,20.3,20.49,20.68,20.87,21.06,21.25,21.44,21.64,21.83,22.02,22.21,22.4,22.59,22.78,22.98,23.17,23.36,23.55,23.74,23.93,24.12,24.32,24.51,24.7,24.89,25.08,25.27,25.47,25.66,25.85,26.04,26.23,26.42,26.61,26.81,27,27.19,27.38,27.57,27.76,27.95,28.15,28.34,28.53,28.72,28.91,29.1,29.29,29.49,29.68,29.87,30.06,30.25,30.44,30.63,30.83,31.02,31.21,31.4
3.1,20.39,20.58,20.77,20.97,21.16,21.35,21.54,21.73,21.92,22.11,22.31,22.5,22.69,22.88,23.07,23.26,23.45,23.65,23.84,24.03,24.22,24.41,24.6,24.79,24.99,25.18,25.37,25.56,25.75,25.94,26.14,26.33,26.52,26.71,26.9,27.09,27.28,27.48,27.67,27.86,28.05,28.24,28.43,28.62,28.82,29.01,29.2,29.39,29.58,29.77,29.96,30.16,30.35,30.54,30.73,30.92,31.11,31.3,31.5,31.69
3.2,20.68,20.87,21.06,21.25,21.44,21.64,21.83,22.02,22.21,22.4,22.59,22.78,22.98,23.17,23.36,23.55,23.74,23.93,24.12,24.32,24.51,24.7,24.89,25.08,25.27,25.47,25.66,25.85,26.04,26.23,26.42,26.61,26.81,27,27.19,27.38,27.57,27.76,27.95,28.15,28.34,28.53,28.72,28.91,29.1,29.29,29.49,29.68,29.87,30.06,30.25,30.44,30.63,30.83,31.02,31.21,31.4,31.59,31.78,31.97
3.3,20.97,21.16,21.35,21.54,21.73,21.92,22.11,22.31,22.5,22.69,22.88,23.07,23.26,23.45,23.65,23.84,24.03,24.22,24.41,24.6,24.79,24.99,25.18,25.37,25.56,25.75,25.94,26.14,26.33,26.52,26.71,26.9,27.09,27.28,27.48,27.67,27.86,28.05,28.24,28.43,28.62,28.82,29.01,29.2,29.39,29.58,29.77,29.96,30.16,30.35,30.54,30.73,30.92,31.11,31.3,31.5,31.69,31.88,32.07,32.26
3.4,21.25,21.44,21.64,21.83,22.02,22.21,22.4,22.59,22.78,22.98,23.17,23.36,23.55,23.74,23.93,24.12,24.32,24.51,24.7,24.89,25.08,25.27,25.47,25.66,25.85,26.04,26.23,26.42,26.61,26.81,27,27.19,27.38,27.57,27.76,27.95,28.15,28.34,28.53,28.72,28.91,29.1,29.29,29.49,29.68,29.87,30.06,30.25,30.44,30.63,30.83,31.02,31.21,31.4,31.59,31.78,31.97,32.17,32.36,32.55
3.5,21.54,21.73,21.92,22.11,22.31,22.5,22.69,22.88,23.07,23.26,23.45,23.65,23.84,24.03,24.22,24.41,24.6,24.79,24.99,25.18,25.37,25.56,25.75,25.94,26.14,26.33,26.52,26.71,26.9,27.09,27.28,27.48,27.67,27.86,28.05,28.24,28.43,28.62,28.82,29.01,29.2,29.39,29.58,29.77,29.96,30.16,30.35,30.54,30.73,30.92,31.11,31.3,31.5,31.69,31.88,32.07,32.26,32.45,32.65,32.84
3.6,21.83,22.02,22.21,22.4,22.59,22.78,22.98,23.17,23.36,23.55,23.74,23.93,24.12,24.32,24.51,24.7,24.89,25.08,25.27,25.47,25.66,25.85,26.04,26.23,26.42,26.61,26.81,27,27.19,27.38,27.57,27.76,27.95,28.15,28.34,28.53,28.72,28.91,29.1,29.29,29.49,29.68,29.87,30.06,30.25,30.44,30.63,30.83,31.02,31.21,31.4,31.59,31.78,31.97,32.17,32.36,32.55,32.74,32.93,33.12
3.7,22.11,22.31,22.5,22.69,22.88,23.07,23.26,23.45,23.65,23.84,24.03,24.22,24.41,24.6,24.79,24.99,25.18,25.37,25.56,25.75,25.94,26.14,26.33,26.52,26.71,26.9,27.09,27.28,27.48,27.67,27.86,28.05,28.24,28.43,28.62,28.82,29.01,29.2,29.39,29.58,29.77,29.96,30.16,30.35,30.54,30.73,30.92,31.11,31.3,31.5,31.69,31.88,32.07,32.26,32.45,32.65,32.84,33.03,33.22,33.41
3.8,22.4,22.59,22.78,22.98,23.17,23.36,23.55,23.74,23.93,24.12,24.32,24.51,24.7,24.89,25.08,25.27,25.47,25.66,25.85,26.04,26.23,26.42,26.61,26.81,27,27.19,27.38,27.57,27.76,27.95,28.15,28.34,28.53,28.72,28.91,29.1,29.29,29.49,29.68,29.87,30.06,30.25,30.44,30.63,30.83,31.02,31.21,31.4,31.59,31.78,31.97,32.17,32.36,32.55,32.74,32.93,33.12,33.32,33.51,33.7
